Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Age,Sex,Job_Status,Borough_MX,Has_Anxiety,Recent_Illness_Doctor_Visit,In_Relationship
49,9.7,2.8,7.9,0.3,3.3,3.47,High,25,Male,Part-time,Iztapalapa,Yes,No,Yes
50,9.4,3.0,8.5,2.2,0.9,3.18,High,21,Female,Not working,Iztapalapa,Yes,No,No
51,6.8,1.2,9.0,4.9,2.1,3.12,Moderate,23,Female,Not working,Alvaro Obregon,Yes,No,Yes
52,9.0,2.6,8.5,3.1,0.8,4.0,High,23,Male,Part-time,Cuajimalpa de Morelos,Yes,Yes,No
53,9.5,1.4,6.9,0.6,5.6,3.33,High,23,Female,Part-time,Cuauhtemoc,No,No,Yes
54,7.3,2.2,6.4,3.5,4.6,3.11,Moderate,23,Female,Full-time,Gustavo A. Madero,No,Yes,Yes
55,5.2,0.1,9.1,2.2,7.4,2.79,Low,22,Male,Part-time,Benito Juarez,No,No,No
56,8.8,0.9,8.1,0.5,5.7,3.1,High,22,Male,Part-time,Cuauhtemoc,Yes,No,No
57,5.3,2.1,7.7,3.8,5.1,2.39,Low,21,Male,Full-time,Gustavo A. Madero,No,No,Yes
58,9.0,1.1,7.2,0.5,6.2,3.39,High,20,Female,Part-time,Venustiano Carranza,No,No,No
59,5.1,3.9,9.2,4.0,1.8,2.52,Low,23,Female,Not working,Tlalpan,Yes,No,No
60,5.8,1.0,7.7,4.3,5.2,2.8,Low,24,Female,Full-time,Xochimilco,No,No,Yes
61,8.3,1.1,9.8,3.5,1.3,3.67,High,22,Male,Part-time,Tlalpan,Yes,No,Yes
62,7.1,1.0,6.8,4.5,4.6,3.27,Moderate,22,Male,Not working,Magdalena Contreras,No,No,No
63,5.1,0.5,5.2,0.2,13.0,2.85,High,22,Male,Part-time,Gustavo A. Madero,Yes,No,Yes
64,7.4,0.4,7.5,2.8,5.9,3.26,Moderate,22,Male,Part-time,Cuauhtemoc,Yes,Yes,No
65,5.9,1.7,7.0,3.7,5.7,2.8,Low,20,Male,Part-time,Coyoacan,No,No,No
66,6.9,2.5,7.5,5.1,2.0,3.06,Moderate,25,Male,Full-time,Alvaro Obregon,Yes,No,Yes
67,8.3,0.7,5.4,3.9,5.7,3.26,High,23,Male,Not working,Venustiano Carranza,Yes,Yes,Yes
68,9.7,2.3,6.9,3.3,1.8,3.38,High,21,Male,Not working,Xochimilco,Yes,Yes,Yes
69,7.3,2.2,9.7,1.9,2.9,3.15,Moderate,23,Male,Full-time,Iztapalapa,Yes,No,Yes
70,5.4,1.3,9.2,0.1,8.0,2.69,Low,22,Male,Not working,Coyoacan,No,No,No
71,9.1,1.1,5.6,4.2,4.0,3.54,High,22,Female,Not working,Magdalena Contreras,Yes,Yes,Yes
72,8.7,3.2,6.4,1.0,4.7,3.37,High,23,Female,Part-time,Miguel Hidalgo,Yes,Yes,Yes
73,8.8,3.2,10.0,0.8,1.2,3.58,High,24,Male,Not working,Iztapalapa,Yes,No,No
74,6.7,3.7,9.3,1.8,2.5,2.89,Moderate,25,Male,Part-time,Coyoacan,No,No,No
75,8.8,3.0,5.5,5.4,1.3,3.58,High,25,Male,Not working,Alvaro Obregon,No,Yes,Yes
76,6.6,3.6,6.9,0.1,6.8,2.99,Moderate,22,Male,Full-time,Gustavo A. Madero,No,No,Yes
77,9.5,0.4,6.6,5.7,1.8,3.44,High,22,Male,Full-time,Iztapalapa,Yes,No,No
78,8.2,1.8,6.5,2.0,5.5,3.35,High,23,Female,Part-time,Gustavo A. Madero,Yes,Yes,Yes
79,8.4,3.0,9.0,2.8,0.8,3.26,High,23,Female,Part-time,Coyoacan,No,No,Yes
80,5.3,2.2,7.2,5.3,4.0,2.62,Low,21,Male,Part-time,Miguel Hidalgo,No,No,Yes
81,6.8,0.5,5.7,4.6,6.4,2.86,High,22,Female,Full-time,Iztapalapa,Yes,Yes,Yes
82,5.4,2.8,5.4,4.9,5.5,2.86,High,24,Male,Not working,Cuajimalpa de Morelos,Yes,No,No
83,8.5,0.3,5.4,5.9,3.9,2.99,High,25,Male,Not working,Xochimilco,Yes,Yes,Yes
84,9.1,3.8,9.9,0.9,0.3,3.08,High,22,Male,Not working,Iztacalco,Yes,No,No
85,6.9,0.3,8.9,3.4,4.5,3.21,Moderate,22,Female,Not working,Coyoacan,No,Yes,Yes
86,5.6,2.0,5.1,2.8,8.5,2.81,High,22,Male,Part-time,Iztacalco,Yes,No,Yes
87,5.3,0.5,5.6,3.9,8.7,2.9,High,21,Female,Not working,Cuajimalpa de Morelos,Yes,Yes,Yes
88,9.8,1.5,6.4,5.2,1.1,3.78,High,22,Female,Not working,Iztapalapa,Yes,No,No
89,6.1,3.9,5.1,5.8,3.1,2.96,High,23,Female,Full-time,Coyoacan,No,No,No
90,5.4,2.2,9.8,3.1,3.5,2.81,Low,22,Female,Not working,Miguel Hidalgo,No,Yes,Yes
91,8.1,2.8,7.3,3.6,2.2,3.39,High,24,Female,Full-time,Cuajimalpa de Morelos,No,No,Yes
92,5.2,1.1,9.8,5.3,2.6,2.82,Low,23,Male,Not working,Xochimilco,No,No,Yes
93,7.3,2.5,6.4,1.1,6.7,2.67,Moderate,23,Male,Part-time,Cuauhtemoc,No,No,Yes
94,7.9,0.3,9.9,5.8,0.1,3.08,Moderate,22,Male,Part-time,Tlalpan,No,Yes,No
95,8.5,2.1,6.5,4.9,2.0,3.1,High,24,Female,Part-time,Cuauhtemoc,Yes,Yes,No
96,9.6,3.3,9.7,1.0,0.4,3.54,High,21,Male,Not working,Benito Juarez,Yes,No,Yes
97,8.1,1.7,9.7,3.9,0.6,3.45,High,22,Female,Part-time,Milpa Alta,Yes,Yes,Yes
98,9.9,0.6,8.0,2.1,3.4,3.39,High,21,Male,Not working,Cuauhtemoc,Yes,Yes,No
99,9.8,3.4,9.2,0.7,0.9,3.15,High,24,Male,Full-time,Gustavo A. Madero,Yes,No,Yes
100,5.3,3.5,9.1,6.0,0.1,2.68,Low,24,Female,Full-time,Xochimilco,No,No,No
101,10.0,2.2,8.8,2.8,0.2,3.41,High,22,Female,Not working,Milpa Alta,Yes,No,Yes
102,7.3,0.5,9.8,3.6,2.8,3.22,Moderate,25,Female,Part-time,Miguel Hidalgo,Yes,No,Yes
103,6.1,2.7,8.1,2.1,5.0,2.98,Moderate,22,Male,Not working,Alvaro Obregon,Yes,Yes,No
104,7.6,3.1,7.6,4.9,0.8,2.99,Moderate,20,Female,Full-time,Venustiano Carranza,Yes,Yes,No
105,7.8,2.2,9.4,1.9,2.7,3.3,Moderate,22,Female,Not working,Miguel Hidalgo,Yes,Yes,No
106,8.5,0.9,5.7,0.1,8.8,3.55,High,23,Male,Not working,Tlalpan,Yes,Yes,No
107,6.8,2.4,7.0,2.6,5.2,2.97,Moderate,22,Female,Part-time,Iztapalapa,No,No,Yes
108,7.6,3.1,7.0,3.7,2.6,3.28,Moderate,25,Female,Part-time,Iztapalapa,No,No,Yes
109,9.3,3.8,5.7,4.8,0.4,3.05,High,24,Male,Not working,Tlahuac,Yes,No,Yes
110,7.3,3.9,7.5,1.7,3.6,3.08,Moderate,25,Female,Full-time,Cuauhtemoc,Yes,No,Yes
111,8.2,1.0,5.4,0.8,8.6,3.3,High,25,Male,Not working,Gustavo A. Madero,Yes,No,Yes
112,5.9,1.4,9.5,2.8,4.4,2.7,Low,20,Male,Part-time,Alvaro Obregon,No,No,No
113,8.3,0.7,6.0,0.2,8.8,3.14,High,22,Female,Part-time,Alvaro Obregon,Yes,Yes,No
114,5.9,0.4,5.6,2.8,9.3,2.73,High,20,Female,Part-time,Miguel Hidalgo,Yes,No,No
115,6.0,1.5,7.5,4.1,4.9,2.76,Moderate,22,Female,Full-time,Alvaro Obregon,Yes,Yes,No
116,9.4,3.7,5.3,1.6,4.0,3.45,High,24,Male,Not working,Iztacalco,Yes,No,Yes
117,9.0,3.0,5.9,1.3,4.8,3.29,High,21,Female,Not working,Cuajimalpa de Morelos,Yes,No,No
118,8.1,1.5,7.3,4.5,2.6,2.75,High,22,Male,Part-time,Benito Juarez,Yes,No,Yes
119,5.2,1.0,8.6,5.4,3.8,3.4,Low,23,Female,Full-time,Iztapalapa,No,No,Yes
120,5.5,1.8,7.7,1.5,7.5,3.05,Low,24,Male,Not working,Azcapotzalco,No,No,Yes
121,6.3,1.5,5.1,1.9,9.2,2.82,High,22,Female,Part-time,Benito Juarez,Yes,No,No
122,5.6,3.6,8.0,4.1,2.7,2.62,Low,22,Female,Not working,Gustavo A. Madero,No,Yes,No
123,8.9,2.0,5.4,3.2,4.5,3.64,High,24,Male,Not working,Alvaro Obregon,Yes,Yes,Yes
124,7.2,0.5,6.4,2.2,7.7,3.19,Moderate,23,Male,Part-time,Alvaro Obregon,No,No,No
125,8.2,2.3,6.8,5.9,0.8,2.95,High,22,Female,Part-time,Miguel Hidalgo,Yes,No,Yes
126,5.5,0.6,6.2,1.0,10.7,2.94,Low,23,Male,Full-time,Cuauhtemoc,No,No,Yes
127,5.9,1.1,5.9,5.4,5.7,2.89,High,23,Male,Full-time,Cuajimalpa de Morelos,No,No,Yes
128,7.1,3.9,5.6,2.4,5.0,2.9,High,23,Female,Full-time,Tlalpan,No,No,Yes
129,9.8,3.5,9.1,0.4,1.2,3.57,High,25,Male,Full-time,Gustavo A. Madero,No,Yes,No
130,9.6,2.2,7.9,1.2,3.1,3.24,High,22,Female,Part-time,Gustavo A. Madero,Yes,Yes,No
131,8.8,0.7,6.6,2.6,5.3,2.99,High,22,Female,Part-time,Tlalpan,Yes,No,Yes
132,5.6,2.4,6.4,3.5,6.1,2.85,Low,25,Male,Full-time,Xochimilco,Yes,No,Yes
133,5.8,1.9,7.7,0.3,8.3,2.7,Low,21,Female,Not working,Coyoacan,No,Yes,No
134,5.3,4.0,6.6,4.9,3.2,2.72,Low,25,Male,Not working,Iztacalco,No,No,No
135,6.3,2.7,8.8,3.6,2.6,2.45,Moderate,22,Female,Part-time,Gustavo A. Madero,No,No,Yes
136,6.7,3.7,9.2,4.2,0.2,2.85,Moderate,23,Male,Part-time,Tlalpan,No,No,Yes
137,5.6,2.9,9.7,1.1,4.7,2.86,Low,24,Female,Full-time,Cuauhtemoc,No,No,No
138,7.9,3.4,5.7,4.8,2.2,3.15,High,24,Female,Not working,Iztapalapa,Yes,Yes,Yes
139,6.0,0.7,5.8,4.9,6.6,2.96,High,24,Male,Full-time,Milpa Alta,Yes,Yes,No
140,6.8,3.5,7.0,4.9,1.8,3.44,Moderate,22,Female,Part-time,Cuauhtemoc,No,No,Yes
141,7.2,1.5,7.3,1.8,6.2,3.08,Moderate,22,Male,Full-time,Gustavo A. Madero,Yes,No,Yes
142,6.2,3.6,6.9,3.3,4.0,3.27,Moderate,23,Male,Part-time,Iztapalapa,No,Yes,No
143,9.5,2.5,5.6,5.6,0.8,3.13,High,23,Female,Not working,Alvaro Obregon,Yes,Yes,No
144,5.7,3.2,8.1,3.2,3.8,3.08,Low,22,Male,Full-time,Xochimilco,No,Yes,No
145,9.5,3.2,5.8,1.7,3.8,3.59,High,23,Female,Full-time,Tlahuac,Yes,No,Yes
146,5.2,2.3,8.8,5.3,2.4,2.61,Low,24,Male,Full-time,Cuajimalpa de Morelos,No,No,No
147,6.7,3.3,5.6,5.1,3.3,2.95,High,23,Male,Full-time,Iztapalapa,Yes,No,Yes
148,9.0,0.6,6.1,4.3,4.0,3.15,High,25,Male,Part-time,Venustiano Carranza,Yes,No,Yes
149,8.6,2.6,8.5,2.3,2.0,3.14,High,23,Female,Not working,Cuauhtemoc,No,No,No
150,5.9,3.6,7.9,2.4,4.2,2.64,Low,22,Male,Part-time,Tlahuac,No,No,No
151,7.3,3.8,5.8,3.5,3.6,3.58,High,23,Female,Not working,Iztapalapa,Yes,No,Yes
152,5.1,3.5,9.7,3.2,2.5,2.79,Low,22,Female,Not working,Alvaro Obregon,Yes,No,Yes
153,8.5,3.7,8.5,0.5,2.8,3.65,High,21,Female,Not working,Gustavo A. Madero,Yes,No,No
154,7.1,2.9,9.7,4.0,0.3,3.33,Moderate,23,Female,Not working,Benito Juarez,Yes,No,Yes
155,7.3,0.5,9.9,5.0,1.3,3.11,Moderate,21,Female,Not working,Iztapalapa,No,Yes,Yes
156,8.0,1.6,5.3,2.0,7.1,3.42,High,22,Male,Full-time,Tlahuac,Yes,Yes,Yes
157,9.0,0.0,6.7,2.4,5.9,3.51,High,22,Female,Part-time,Iztapalapa,Yes,Yes,No
158,6.7,1.4,8.7,2.7,4.5,3.02,Moderate,23,Female,Not working,Gustavo A. Madero,No,No,No
159,6.1,1.8,5.7,1.1,9.3,2.38,High,23,Female,Not working,Alvaro Obregon,No,No,Yes
160,9.6,1.4,7.9,3.2,1.9,3.43,High,23,Male,Full-time,Miguel Hidalgo,Yes,No,No
161,5.1,2.7,5.9,5.8,4.5,2.71,High,20,Female,Part-time,Tlalpan,Yes,Yes,No
162,5.4,4.0,7.5,3.6,3.5,2.59,Low,22,Male,Part-time,Coyoacan,No,No,Yes
163,5.3,3.0,6.0,5.4,4.3,2.68,Low,21,Female,Not working,Gustavo A. Madero,Yes,No,Yes
164,5.2,1.9,7.8,0.4,8.7,2.67,Low,22,Male,Full-time,Iztapalapa,No,No,No
165,8.9,1.8,7.6,2.5,3.2,3.58,High,24,Male,Not working,Gustavo A. Madero,Yes,Yes,Yes
166,5.8,0.7,9.3,5.7,2.5,2.46,Low,24,Male,Not working,Gustavo A. Madero,No,No,Yes
167,6.9,1.1,8.2,2.5,5.3,3.22,Moderate,23,Male,Part-time,Cuauhtemoc,No,No,Yes
168,5.1,0.9,6.2,4.0,7.8,3.02,Low,23,Male,Full-time,Cuauhtemoc,No,Yes,Yes
169,5.1,0.4,9.0,1.1,8.4,2.52,Low,20,Female,Not working,Venustiano Carranza,Yes,No,No
170,5.5,1.0,8.6,5.1,3.8,2.97,Low,23,Male,Not working,Iztapalapa,No,No,No
171,9.2,1.6,8.3,1.0,3.9,3.5,High,23,Female,Full-time,Alvaro Obregon,No,No,No
172,5.1,0.3,6.0,0.2,12.4,2.7,Low,21,Female,Part-time,Gustavo A. Madero,Yes,Yes,Yes
173,5.9,2.3,7.1,5.4,3.3,2.78,Low,23,Female,Part-time,Xochimilco,No,No,Yes
174,6.3,1.5,8.0,1.6,6.6,3.15,Moderate,22,Female,Full-time,Gustavo A. Madero,Yes,Yes,Yes
175,8.1,1.6,7.8,2.6,3.9,3.26,High,24,Female,Full-time,Gustavo A. Madero,Yes,No,Yes
176,8.8,0.6,9.3,2.6,2.7,3.3,High,24,Male,Part-time,Iztapalapa,No,No,No
177,9.5,3.2,7.1,0.1,4.1,3.49,High,22,Male,Part-time,Iztapalapa,No,No,No
178,8.2,1.0,5.7,5.0,4.1,2.89,High,25,Male,Part-time,Miguel Hidalgo,No,Yes,Yes
179,9.9,2.1,5.9,1.6,4.5,3.52,High,22,Female,Part-time,Miguel Hidalgo,Yes,Yes,Yes
180,6.4,2.2,8.3,5.0,2.1,2.76,Moderate,25,Female,Not working,Venustiano Carranza,Yes,Yes,Yes
181,6.0,0.0,5.7,5.4,6.9,2.95,High,22,Male,Part-time,Coyoacan,Yes,No,No
182,8.0,2.7,5.9,5.5,1.9,3.4,High,23,Female,Part-time,Azcapotzalco,Yes,Yes,Yes
183,7.1,1.5,7.6,0.3,7.5,3.17,Moderate,23,Male,Not working,Benito Juarez,No,No,No
184,5.4,2.4,6.2,2.3,7.7,2.66,Low,21,Male,Full-time,Cuauhtemoc,Yes,Yes,Yes
185,6.4,1.4,8.6,1.8,5.8,2.77,Moderate,20,Male,Part-time,Coyoacan,No,Yes,No
186,8.3,3.7,8.7,0.7,2.6,3.77,High,21,Male,Not working,Gustavo A. Madero,Yes,No,No
187,5.2,1.0,8.0,0.3,9.5,3.29,Low,24,Male,Full-time,Magdalena Contreras,No,No,Yes
188,6.7,3.1,5.5,0.5,8.2,2.99,High,22,Female,Part-time,Venustiano Carranza,Yes,No,No
189,8.6,2.0,8.4,2.2,2.8,3.43,High,22,Female,Part-time,Benito Juarez,No,No,No
190,9.0,2.8,6.4,3.4,2.4,3.24,High,25,Female,Part-time,Alvaro Obregon,No,No,No
191,6.8,0.4,9.6,0.8,6.4,3.01,Moderate,23,Male,Not working,Miguel Hidalgo,Yes,No,Yes
192,5.9,2.2,9.4,4.4,2.1,3.01,Low,24,Female,Part-time,Venustiano Carranza,No,No,Yes
193,9.0,2.6,8.5,3.3,0.6,3.34,High,24,Female,Full-time,Gustavo A. Madero,Yes,No,Yes
194,6.1,4.0,9.7,0.2,4.0,2.58,Moderate,21,Male,Part-time,Benito Juarez,No,Yes,No
195,8.5,3.7,5.9,3.4,2.5,3.06,High,23,Female,Part-time,Tlalpan,Yes,Yes,No
196,9.6,3.9,9.7,0.4,0.4,3.65,High,23,Male,Not working,Iztacalco,No,No,No
197,9.3,3.4,6.6,3.9,0.8,3.41,High,22,Female,Not working,Benito Juarez,Yes,Yes,No
198,6.2,0.5,5.4,4.2,7.7,2.84,High,21,Female,Full-time,Alvaro Obregon,Yes,No,Yes
199,6.7,2.9,5.3,1.9,7.2,3.29,High,23,Female,Full-time,Iztapalapa,No,No,No
200,6.6,2.5,9.4,3.4,2.1,3.03,Moderate,20,Female,Part-time,Cuauhtemoc,No,Yes,No
201,6.2,0.1,9.4,0.1,8.2,2.95,Moderate,21,Male,Full-time,Coyoacan,No,No,Yes
202,9.7,3.2,10.0,0.4,0.7,3.67,High,21,Female,Part-time,Xochimilco,No,Yes,No
203,8.8,1.6,7.4,3.8,2.4,3.23,High,22,Female,Not working,Alvaro Obregon,Yes,Yes,Yes
204,7.1,3.0,6.2,0.7,7.0,3.36,Moderate,24,Male,Part-time,Benito Juarez,Yes,Yes,Yes
205,6.8,1.1,6.5,1.4,8.2,3.01,Moderate,25,Female,Not working,Alvaro Obregon,Yes,No,No
206,6.9,2.7,6.1,5.7,2.6,3.08,Moderate,25,Female,Not working,Tlalpan,Yes,No,Yes
207,8.9,0.4,7.1,5.3,2.3,3.33,High,24,Male,Part-time,Iztapalapa,Yes,No,No
208,8.1,0.7,10.0,1.2,4.0,3.35,High,23,Male,Not working,Xochimilco,Yes,No,Yes
209,9.7,2.6,8.0,1.9,1.8,3.33,High,20,Male,Not working,Iztacalco,Yes,No,No
210,6.1,0.7,8.9,2.1,6.2,2.81,Moderate,24,Female,Not working,Milpa Alta,Yes,Yes,No
211,5.3,3.9,9.4,5.0,0.4,3.08,Low,25,Female,Part-time,Iztacalco,Yes,No,No
212,8.5,0.6,9.1,1.3,4.5,3.16,High,23,Female,Part-time,Cuauhtemoc,Yes,Yes,No
213,6.1,2.1,8.0,3.5,4.3,2.79,Moderate,23,Male,Full-time,Xochimilco,No,No,Yes
214,9.4,3.8,9.3,1.2,0.3,3.33,High,24,Female,Not working,Iztapalapa,Yes,No,Yes
215,8.3,2.2,5.4,2.5,5.6,2.97,High,24,Female,Part-time,Alvaro Obregon,No,Yes,No
216,8.6,2.0,5.4,1.3,6.7,3.14,High,23,Female,Part-time,Gustavo A. Madero,Yes,No,No
217,8.4,0.3,9.3,3.0,3.0,3.77,High,22,Male,Not working,Alvaro Obregon,Yes,Yes,Yes
218,9.1,1.4,8.4,2.9,2.2,3.26,High,23,Male,Full-time,Cuauhtemoc,Yes,Yes,No
219,6.3,3.5,9.0,3.4,1.8,3.11,Moderate,20,Male,Not working,Iztapalapa,Yes,Yes,Yes
220,8.5,2.7,8.1,3.5,1.2,3.38,High,20,Female,Not working,Gustavo A. Madero,Yes,Yes,No
221,5.8,3.5,9.4,0.2,5.1,2.84,Low,25,Female,Full-time,Tlalpan,No,No,Yes
222,6.7,3.0,5.8,4.9,3.6,3.03,High,22,Female,Part-time,Cuajimalpa de Morelos,Yes,Yes,Yes
223,9.2,2.0,5.0,1.7,6.1,3.42,High,24,Female,Not working,Xochimilco,Yes,No,Yes
224,8.2,1.0,8.2,3.2,3.4,3.24,High,25,Male,Not working,Miguel Hidalgo,Yes,No,No
225,8.9,0.4,8.8,3.2,2.7,3.32,High,24,Male,Full-time,Azcapotzalco,Yes,No,Yes
226,8.2,3.7,5.5,5.6,1.0,3.29,High,22,Male,Not working,Venustiano Carranza,Yes,No,No
227,8.4,0.3,6.5,4.2,4.6,3.29,High,23,Female,Not working,Gustavo A. Madero,Yes,No,Yes
228,6.7,2.5,5.2,5.2,4.4,2.86,High,21,Female,Part-time,Gustavo A. Madero,Yes,Yes,No
229,9.9,3.9,8.7,0.2,1.3,3.8,High,22,Male,Not working,Iztapalapa,No,No,Yes
230,8.4,1.8,6.4,6.0,1.4,3.25,High,24,Male,Not working,Cuajimalpa de Morelos,Yes,Yes,Yes
231,7.1,1.8,5.8,4.8,4.5,2.86,High,23,Male,Not working,Iztacalco,Yes,No,Yes
232,5.4,2.7,8.3,1.6,6.0,2.95,Low,20,Female,Part-time,Tlahuac,No,No,No
233,9.8,0.6,7.2,5.7,0.7,3.84,High,20,Female,Part-time,Gustavo A. Madero,No,No,Yes
234,7.0,1.1,9.9,2.5,3.5,2.84,Moderate,21,Male,Full-time,Benito Juarez,No,No,No
235,9.5,0.9,6.1,0.2,7.3,3.17,High,24,Male,Not working,Xochimilco,No,No,No
236,9.3,1.9,9.8,0.6,2.4,3.68,High,23,Female,Not working,Gustavo A. Madero,No,No,Yes
237,9.3,3.1,8.9,2.3,0.4,3.52,High,23,Male,Part-time,Tlalpan,Yes,No,Yes
238,5.7,0.1,9.6,3.7,4.9,3.12,Low,21,Male,Full-time,Gustavo A. Madero,No,No,No
239,9.0,1.9,5.6,0.8,6.7,3.21,High,23,Male,Part-time,Gustavo A. Madero,Yes,Yes,No
240,6.0,2.0,5.3,3.5,7.2,3.26,High,20,Male,Part-time,Magdalena Contreras,No,Yes,No
241,6.3,3.2,6.6,2.7,5.2,2.85,Moderate,23,Female,Not working,Benito Juarez,Yes,No,Yes
